,TH[V],HV[V],N[5min]
249,0.224324324,857.1771772,0.64
250,0.225225225,857.6076076,0.64
251,0.226126126,858.038038,0.64
252,0.227027027,858.4684685,0.64
253,0.227927928,858.8988989,0.64
254,0.228828829,859.3293293,0.64
255,0.22972973,859.7597598,0.64
256,0.230630631,860.1901902,0.64
257,0.231531532,860.6206206,0.64
258,0.232432432,861.0510511,0.64
259,0.233333333,861.4814815,0.64
260,0.234234234,861.9119119,0.64
261,0.235135135,862.3423423,0.64
262,0.236036036,862.7727728,0.64
263,0.236936937,863.2032032,0.64
264,0.237837838,863.6336336,0.64
265,0.238738739,864.0640641,0.64
266,0.23963964,864.4944945,0.64
267,0.240540541,864.9249249,0.64
268,0.241441441,865.3553554,0.64
269,0.242342342,865.7857858,0.64
270,0.243243243,866.2162162,0.64
271,0.244144144,866.6466466,0.64
272,0.245045045,867.0770771,0.64
273,0.245945946,867.5075075,0.64
274,0.246846847,867.9379379,0.64
275,0.247747748,868.3683684,0.64
276,0.248648649,868.7987988,0.64
277,0.24954955,869.2292292,0.64
278,0.25045045,869.6596597,0.64
279,0.251351351,870.0900901,0.64
280,0.252252252,870.5205205,0.64
281,0.253153153,870.950951,0.64
282,0.254054054,871.3813814,0.64
283,0.254954955,871.8118118,0.64
284,0.255855856,872.2422422,0.64
285,0.256756757,872.6726727,0.64
286,0.257657658,873.1031031,0.64
287,0.258558559,873.5335335,0.64
288,0.259459459,873.963964,0.64
289,0.26036036,874.3943944,0.64
290,0.261261261,874.8248248,0.64
291,0.262162162,875.2552553,0.64
292,0.263063063,875.6856857,0.64
293,0.263963964,876.1161161,0.64
294,0.264864865,876.5465465,0.64
295,0.265765766,876.976977,0.64
296,0.266666667,877.4074074,0.64
297,0.267567568,877.8378378,0.64
298,0.268468468,878.2682683,0.64
299,0.269369369,878.6986987,0.64
300,0.27027027,879.1291291,0.64
301,0.271171171,879.5595596,0.64
302,0.272072072,879.98999,0.64
303,0.272972973,880.4204204,0.64
304,0.273873874,880.8508509,0.64
305,0.274774775,881.2812813,0.64
306,0.275675676,881.7117117,0.64
307,0.276576577,882.1421421,0.64
308,0.277477477,882.5725726,0.64
309,0.278378378,883.003003,0.64
310,0.279279279,883.4334334,0.64
311,0.28018018,883.8638639,0.64
312,0.281081081,884.2942943,0.64
313,0.281981982,884.7247247,0.64
314,0.282882883,885.1551552,0.64
315,0.283783784,885.5855856,0.64
316,0.284684685,886.016016,0.64
317,0.285585586,886.4464464,0.64
318,0.286486486,886.8768769,0.64
319,0.287387387,887.3073073,0.64
320,0.288288288,887.7377377,0.64
321,0.289189189,888.1681682,0.64
322,0.29009009,888.5985986,0.64
323,0.290990991,889.029029,0.64
324,0.291891892,889.4594595,0.64
325,0.292792793,889.8898899,0.64
326,0.293693694,890.3203203,0.64
327,0.294594595,890.7507508,0.64
328,0.295495495,891.1811812,0.64
329,0.296396396,891.6116116,0.64
330,0.297297297,892.042042,0.64
331,0.298198198,892.4724725,0.64
332,0.299099099,892.9029029,0.64
333,0.3,893.3333333,0.64
334,0.300900901,893.7637638,0.64
335,0.301801802,894.1941942,0.64
336,0.302702703,894.6246246,0.64
337,0.303603604,895.0550551,0.64
338,0.304504505,895.4854855,0.64
339,0.305405405,895.9159159,0.64
340,0.306306306,896.3463463,0.64
341,0.307207207,896.7767768,0.64
342,0.308108108,897.2072072,0.64
343,0.309009009,897.6376376,0.64
344,0.30990991,898.0680681,0.64
345,0.310810811,898.4984985,0.64
346,0.311711712,898.9289289,0.64
347,0.312612613,899.3593594,0.64
348,0.313513514,899.7897898,0.64
349,0.314414414,900.2202202,0.64
350,0.315315315,900.6506507,0.64
351,0.316216216,901.0810811,0.64
352,0.317117117,901.5115115,0.64
353,0.318018018,901.9419419,0.64
354,0.318918919,902.3723724,0.64
355,0.31981982,902.8028028,0.64
356,0.320720721,903.2332332,0.64
357,0.321621622,903.6636637,0.64
358,0.322522523,904.0940941,0.64
359,0.323423423,904.5245245,0.64
360,0.324324324,904.954955,0.64
361,0.325225225,905.3853854,0.64
362,0.326126126,905.8158158,0.64
363,0.327027027,906.2462462,0.64
364,0.327927928,906.6766767,0.64
365,0.328828829,907.1071071,0.64
366,0.32972973,907.5375375,0.64
367,0.330630631,907.967968,0.64
368,0.331531532,908.3983984,0.64
369,0.332432432,908.8288288,0.64
370,0.333333333,909.2592593,0.64
371,0.334234234,909.6896897,0.64
372,0.335135135,910.1201201,0.64
373,0.336036036,910.5505506,0.64
374,0.336936937,910.980981,0.64
375,0.337837838,911.4114114,0.64
376,0.338738739,911.8418418,0.64
377,0.33963964,912.2722723,0.64
378,0.340540541,912.7027027,0.64
379,0.341441441,913.1331331,0.64
380,0.342342342,913.5635636,0.64
381,0.343243243,913.993994,0.64
382,0.344144144,914.4244244,0.64
383,0.345045045,914.8548549,0.64
384,0.345945946,915.2852853,0.64
385,0.346846847,915.7157157,0.64
386,0.347747748,916.1461461,0.64
387,0.348648649,916.5765766,0.64
388,0.34954955,917.007007,0.64
389,0.35045045,917.4374374,0.64
390,0.351351351,917.8678679,0.64
391,0.352252252,918.2982983,0.64
392,0.353153153,918.7287287,0.64
393,0.354054054,919.1591592,0.64
394,0.354954955,919.5895896,0.64
395,0.355855856,920.02002,0.64
396,0.356756757,920.4504505,0.64
397,0.357657658,920.8808809,0.64
398,0.358558559,921.3113113,0.64
399,0.359459459,921.7417417,0.64
400,0.36036036,922.1721722,0.64
401,0.361261261,922.6026026,0.64
402,0.362162162,923.033033,0.64
403,0.363063063,923.4634635,0.64
404,0.363963964,923.8938939,0.64
405,0.364864865,924.3243243,0.64
406,0.365765766,924.7547548,0.64
407,0.366666667,925.1851852,0.64
408,0.367567568,925.6156156,0.64
409,0.368468468,926.046046,0.64
410,0.369369369,926.4764765,0.64
411,0.37027027,926.9069069,0.64
412,0.371171171,927.3373373,0.64
413,0.372072072,927.7677678,0.64
414,0.372972973,928.1981982,0.64
415,0.373873874,928.6286286,0.64
416,0.374774775,929.0590591,0.64
417,0.375675676,929.4894895,0.64
418,0.376576577,929.9199199,0.64
419,0.377477477,930.3503504,0.64
420,0.378378378,930.7807808,0.64
421,0.379279279,931.2112112,0.64
422,0.38018018,931.6416416,0.64
423,0.381081081,932.0720721,0.64
424,0.381981982,932.5025025,0.64
425,0.382882883,932.9329329,0.64
426,0.383783784,933.3633634,0.64
427,0.384684685,933.7937938,0.64
428,0.385585586,934.2242242,0.64
429,0.386486486,934.6546547,0.64
430,0.387387387,935.0850851,0.64
431,0.388288288,935.5155155,0.64
432,0.389189189,935.9459459,0.64
433,0.39009009,936.3763764,0.64
434,0.390990991,936.8068068,0.64
435,0.391891892,937.2372372,0.64
436,0.392792793,937.6676677,0.64
437,0.393693694,938.0980981,0.64
438,0.394594595,938.5285285,0.64
439,0.395495495,938.958959,0.64
440,0.396396396,939.3893894,0.64
441,0.397297297,939.8198198,0.64
442,0.398198198,940.2502503,0.64
443,0.399099099,940.6806807,0.64
444,0.4,941.1111111,0.64
445,0.400900901,941.5415415,0.64
446,0.401801802,941.971972,0.64
447,0.402702703,942.4024024,0.64
448,0.403603604,942.8328328,0.64
449,0.404504505,943.2632633,0.64
450,0.405405405,943.6936937,0.64
451,0.406306306,944.1241241,0.64
452,0.407207207,944.5545546,0.64
453,0.408108108,944.984985,0.64
454,0.409009009,945.4154154,0.64
455,0.40990991,945.8458458,0.64
456,0.410810811,946.2762763,0.64
457,0.411711712,946.7067067,0.64
458,0.412612613,947.1371371,0.64
459,0.413513514,947.5675676,0.64
460,0.414414414,947.997998,0.64
461,0.415315315,948.4284284,0.64
462,0.416216216,948.8588589,0.64
463,0.417117117,949.2892893,0.64
464,0.418018018,949.7197197,0.64
465,0.418918919,950.1501502,0.64
466,0.41981982,950.5805806,0.64
467,0.420720721,951.011011,0.64
468,0.421621622,951.4414414,0.64
469,0.422522523,951.8718719,0.64
470,0.423423423,952.3023023,0.64
471,0.424324324,952.7327327,0.64
472,0.425225225,953.1631632,0.64
473,0.426126126,953.5935936,0.64
474,0.427027027,954.024024,0.64
475,0.427927928,954.4544545,0.64
476,0.428828829,954.8848849,0.64
477,0.42972973,955.3153153,0.64
478,0.430630631,955.7457457,0.64
479,0.431531532,956.1761762,0.64
480,0.432432432,956.6066066,0.64
481,0.433333333,957.037037,0.64
482,0.434234234,957.4674675,0.64
483,0.435135135,957.8978979,0.64
484,0.436036036,958.3283283,0.64
485,0.436936937,958.7587588,0.64
486,0.437837838,959.1891892,0.64
487,0.438738739,959.6196196,0.64
488,0.43963964,960.0500501,0.64
489,0.440540541,960.4804805,0.64
490,0.441441441,960.9109109,0.64
491,0.442342342,961.3413413,0.64
492,0.443243243,961.7717718,0.64
493,0.444144144,962.2022022,0.64
494,0.445045045,962.6326326,0.64
495,0.445945946,963.0630631,0.64
496,0.446846847,963.4934935,0.64
497,0.447747748,963.9239239,0.64
498,0.448648649,964.3543544,0.64
499,0.44954955,964.7847848,0.64
500,0.45045045,965.2152152,0.64
501,0.451351351,965.6456456,0.64
502,0.452252252,966.0760761,0.64
503,0.453153153,966.5065065,0.64
504,0.454054054,966.9369369,0.64
505,0.454954955,967.3673674,0.64
506,0.455855856,967.7977978,0.64
507,0.456756757,968.2282282,0.64
508,0.457657658,968.6586587,0.64
509,0.458558559,969.0890891,0.64
510,0.459459459,969.5195195,0.64
511,0.46036036,969.9499499,0.64
512,0.461261261,970.3803804,0.64
513,0.462162162,970.8108108,0.64
514,0.463063063,971.2412412,0.64
515,0.463963964,971.6716717,0.64
516,0.464864865,972.1021021,0.64
517,0.465765766,972.5325325,0.64
518,0.466666667,972.962963,0.64
519,0.467567568,973.3933934,0.64
520,0.468468468,973.8238238,0.64
521,0.469369369,974.2542543,0.64
522,0.47027027,974.6846847,0.64
523,0.471171171,975.1151151,0.64
524,0.472072072,975.5455455,0.64
525,0.472972973,975.975976,0.64
526,0.473873874,976.4064064,0.64
527,0.474774775,976.8368368,0.64
528,0.475675676,977.2672673,0.64
529,0.476576577,977.6976977,0.64
530,0.477477477,978.1281281,0.64
531,0.478378378,978.5585586,0.64
532,0.479279279,978.988989,0.64
533,0.48018018,979.4194194,0.64
534,0.481081081,979.8498498,0.64
535,0.481981982,980.2802803,0.64
536,0.482882883,980.7107107,0.64
537,0.483783784,981.1411411,0.64
538,0.484684685,981.5715716,0.64
539,0.485585586,982.002002,0.64
